condition,problem,timestamp,final_compliance,topology_sparsity,grey_ratio,convergence_step,wall_time_s,n_params,n_steps,compliance_at_step_20,compliance_at_step_40,compliance_at_step_80,compliance_at_step_120
P1,causeway_bridge,2026-04-14T15:56:23.006230,369.6055455291729,0.1826171875,0.14973958333333334,1,169.4529435634613,948833,200,32.68666403325241,23.45503143574889,22.261617001235912,21.687003403008593
P1,mbb_beam,2026-04-14T15:51:02.810910,219.07956225409072,0.7235,0.334,10,26.29716157913208,948833,200,225.43668561925784,231.1680768389886,231.4722507493994,228.90362026156654
P1,multistory_building,2026-04-14T15:53:33.515562,66.16197620962873,0.35986328125,0.0401611328125,51,150.68178749084473,948833,200,96.60026810297666,82.28800652635984,66.50137655002163,64.73622022156206
P2,causeway_bridge,2026-04-14T16:02:16.839008,20.934150489765795,0.1657986111111111,0.023220486111111112,52,181.6507487297058,226657,200,31.66835945296018,24.929231112179057,22.501123129260723,21.22799504342681
P2,mbb_beam,2026-04-14T15:56:49.518593,221.43505822322896,0.677,0.2255,15,26.482523679733276,226657,200,227.51835781439465,228.90745773638645,232.67780917810904,224.6813284600565
P2,multistory_building,2026-04-14T15:59:15.150657,62.59476552848369,0.360595703125,0.0399169921875,38,145.60605645179749,226657,200,81.49784639102323,68.55919256264428,63.96603607435154,62.86149929201463
P3,causeway_bridge,2026-04-14T16:08:21.252223,21.066764732516866,0.1518012152777778,0.048828125,3,168.9017722606659,3834977,200,32.59365385246193,25.303728683545884,22.414498608199708,21.34551768112602
P3,mbb_beam,2026-04-14T16:02:55.653287,219.3384431673946,0.7055,0.3135,14,38.762232542037964,3834977,200,221.49083049572081,234.98793558504613,228.8724651114994,224.51024613401154
P3,multistory_building,2026-04-14T16:05:32.290638,63.29224494292113,0.36767578125,0.0745849609375,114,156.58090686798096,3834977,200,87.2367623363625,88.8599698366129,85.75377399929907,68.69409509337527
P4,causeway_bridge,2026-04-14T16:13:54.411888,22.17268730574204,0.1362847222222222,0.08528645833333333,2,150.23887515068054,237873,200,30.84047688847356,27.49982516980386,23.021693445368804,22.438541042597006
P4,mbb_beam,2026-04-14T16:08:45.592406,218.93762659751542,0.7005,0.2195,19,24.314881324768066,237873,200,238.05344115578805,230.03035353394455,226.41782336832384,222.39282165533422
P4,multistory_building,2026-04-14T16:11:24.146127,63.44295980229496,0.354736328125,0.025146484375,28,158.53035807609558,237873,200,89.10088610322461,62.968482355148595,63.84099691557642,63.7582838762435
P5,causeway_bridge,2026-04-14T16:20:30.998795,22.70863103279853,0.19227430555555555,0.0185546875,50,197.27028369903564,3790017,200,32.43064646734481,25.960976662608203,25.19051617637235,23.403350593249968
P5,mbb_beam,2026-04-14T16:14:31.608350,219.35029471069623,0.599,0.098,6,37.161115884780884,3790017,200,227.74446015520678,230.45935500489048,232.42840131785061,221.70599048525025
P5,multistory_building,2026-04-14T16:17:13.681711,65.09806318872424,0.37353515625,0.080078125,62,162.02469325065613,3790017,200,79.75038151901775,80.46611379690232,79.51763728765629,66.28310545981732
P6,causeway_bridge,2026-04-14T16:25:44.033820,58.47861816769591,0.08268229166666667,0.7986111111111112,2,154.31414914131165,947425,200,41.747069965218785,59.17582495811332,61.89200487723992,62.58404905032155
P6,mbb_beam,2026-04-14T16:20:57.704145,150.2262342439976,1.0,0.0,6,26.65365481376648,947425,200,150.2262342439976,150.2262342439976,150.2262342439976,150.2262342439976
P6,multistory_building,2026-04-14T16:23:09.697640,15.447842246179476,1.0,0.0,2,131.97193455696106,947425,200,15.447842246179476,15.447842246179476,15.447842246179476,15.447842246179476
P7,causeway_bridge,2026-04-14T16:31:12.742242,21.767924202233985,0.15440538194444445,0.060112847222222224,35,165.05406427383423,948833,200,30.67573645242802,23.141616234191265,23.150993127699916,22.293743152010343
P7,mbb_beam,2026-04-14T16:26:11.192561,243.59726604266206,0.6975,0.3595,7,27.126919269561768,948833,200,223.08947625189353,234.39528679634765,227.77221232136603,224.72394713438993
P7,multistory_building,2026-04-14T16:28:27.657162,64.18085041187831,0.371337890625,0.07275390625,47,136.43818998336792,948833,200,85.74423789832079,75.3020262979222,70.54705974683489,66.74697316297369
P8,causeway_bridge,2026-04-14T16:36:35.564839,7.409061054366928,1.0,0.0,2,160.57848286628723,948833,200,7.409061054366928,7.409061054366928,7.409061054366928,7.409061054366928
P8,mbb_beam,2026-04-14T16:31:38.181692,150.2262342439976,1.0,0.0,1,25.410001277923584,948833,200,150.2262342439976,150.2262342439976,150.2262342439976,150.2262342439976
P8,multistory_building,2026-04-14T16:33:54.855712,15.447842246179476,1.0,0.0,2,136.603741645813,948833,200,15.447842246179476,15.447842246179476,15.447842246179476,15.447842246179476
P9,causeway_bridge,2026-04-14T16:41:57.725705,21.57142735333187,0.14778645833333334,0.1322699652777778,41,159.22896313667297,948833,200,33.32378839771646,35.33982321110823,25.392764893523367,24.042631900688832
P9,mbb_beam,2026-04-14T16:37:02.565125,227.91269693943377,0.7535,0.3785,43,26.980616807937622,948833,200,300.5470422704269,252.26714585533426,239.14170591838405,234.0433867569172
P9,multistory_building,2026-04-14T16:39:18.466255,63.18009597227919,0.42236328125,0.1591796875,55,135.8728039264679,948833,200,85.66246660916809,72.68568673051062,68.80027065465927,67.92606452540583
