condition,problem,timestamp,final_compliance,topology_sparsity,grey_ratio,convergence_step,wall_time_s,n_params,n_steps,compliance_at_step_20,compliance_at_step_40,compliance_at_step_80
A,causeway_bridge,2026-03-05T13:19:01.849550,2468.074380923148,0.0,1.0,1,0.11171531677246094,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,causeway_bridge,2026-03-05T13:20:23.240345,2468.074380923148,0.0,1.0,1,0.06996369361877441,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,causeway_bridge,2026-03-05T13:23:30.928703,2468.074380923148,0.0,1.0,1,0.06731176376342773,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,causeway_bridge,2026-03-05T13:27:22.217217,2468.074380923148,0.0,1.0,1,0.05720257759094238,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,mbb_beam,2026-03-05T13:19:01.615479,2468.074380923148,0.0,1.0,1,9.691726446151733,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,mbb_beam,2026-03-05T13:20:23.095266,2468.074380923148,0.0,1.0,1,0.3531324863433838,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,mbb_beam,2026-03-05T13:23:30.795400,2468.074380923148,0.0,1.0,1,0.6280856132507324,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,mbb_beam,2026-03-05T13:27:22.094593,2468.074380923148,0.0,1.0,1,0.5113563537597656,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,mbb_beam,2026-03-05T13:30:14.814343,368.5156843048254,0.4005,0.019,31,4.025236368179321,2000,81,537.309061672034,373.2894056068408,368.5148653798723
A,multistory_building,2026-03-05T13:19:01.735190,2468.074380923148,0.0,1.0,1,0.11652803421020508,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,multistory_building,2026-03-05T13:20:23.166677,2468.074380923148,0.0,1.0,1,0.06865668296813965,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,multistory_building,2026-03-05T13:23:30.859760,2468.074380923148,0.0,1.0,1,0.062361717224121094,480,6,2468.074380923148,2468.074380923148,2468.074380923148
A,multistory_building,2026-03-05T13:27:22.155620,2468.074380923148,0.0,1.0,1,0.05723071098327637,480,6,2468.074380923148,2468.074380923148,2468.074380923148
B,causeway_bridge,2026-03-05T13:19:13.905880,2293.2884206787658,0.0,1.0,2,0.07900190353393555,480,5,,,
B,causeway_bridge,2026-03-05T13:20:27.648501,2280.896621490352,0.0,1.0,2,0.08996200561523438,480,5,,,
B,causeway_bridge,2026-03-05T13:23:36.132461,2289.6019075695103,0.0,1.0,2,0.11701750755310059,480,5,,,
B,causeway_bridge,2026-03-05T13:27:27.116827,2305.076418559489,0.0,1.0,1,0.10585308074951172,480,5,,,
B,mbb_beam,2026-03-05T13:19:13.678846,2316.9389373560152,0.0,1.0,1,11.77477765083313,480,5,,,
B,mbb_beam,2026-03-05T13:20:27.468820,2304.122776636787,0.0,1.0,1,4.225522756576538,480,5,,,
B,mbb_beam,2026-03-05T13:23:35.759121,2289.9082269179253,0.0,1.0,2,4.828010082244873,480,5,,,
B,mbb_beam,2026-03-05T13:27:26.913988,2291.4851862234364,0.0,1.0,2,4.692573547363281,480,5,,,
B,multistory_building,2026-03-05T13:19:13.823479,2339.2188795977313,0.0,1.0,1,0.14064764976501465,480,5,,,
B,multistory_building,2026-03-05T13:20:27.555289,2306.7166541408014,0.0,1.0,1,0.08296489715576172,480,5,,,
B,multistory_building,2026-03-05T13:23:36.013645,2297.561185047828,0.0,1.0,2,0.25054407119750977,480,5,,,
B,multistory_building,2026-03-05T13:27:27.005880,2314.7564283983656,0.0,1.0,1,0.08648228645324707,480,5,,,
C,causeway_bridge,2026-03-05T13:20:31.844443,232.96899478427963,0.7041666666666667,0.027083333333333334,1,1.4442641735076904,480,5,,,
C,causeway_bridge,2026-03-05T13:23:42.429281,239.1648103309612,0.6916666666666667,0.07083333333333333,1,2.1197168827056885,480,5,,,
C,causeway_bridge,2026-03-05T13:27:30.485457,238.25022272569782,0.70625,0.027083333333333334,2,1.5599992275238037,480,5,,,
C,mbb_beam,2026-03-05T13:19:15.394523,242.51380756179805,0.6916666666666667,0.15833333333333333,1,1.486114263534546,480,5,,,
C,mbb_beam,2026-03-05T13:20:29.126548,237.78491657673146,0.6895833333333333,0.029166666666666667,1,1.4736177921295166,480,5,,,
C,mbb_beam,2026-03-05T13:23:37.870556,236.22085652890354,0.69375,0.0125,2,1.735917091369629,480,5,,,
C,mbb_beam,2026-03-05T13:27:28.423841,234.59329458879193,0.6958333333333333,0.020833333333333332,2,1.3012681007385254,480,5,,,
C,multistory_building,2026-03-05T13:19:16.915943,250.2158640739994,0.69375,0.05625,1,1.5197346210479736,480,5,,,
C,multistory_building,2026-03-05T13:20:30.397069,241.69751543307652,0.6916666666666667,0.016666666666666666,1,1.2016310691833496,480,5,,,
C,multistory_building,2026-03-05T13:23:40.306421,237.48359761380192,0.7,0.10833333333333334,1,2.431823253631592,480,5,,,
C,multistory_building,2026-03-05T13:27:28.921984,247.74270109999355,0.6791666666666667,0.008333333333333333,1,0.4938948154449463,480,5,,,
D,causeway_bridge,2026-03-05T13:20:32.068535,2468.074380923148,0.0,1.0,1,0.07860708236694336,480,6,2468.074380923148,2468.074380923148,2468.074380923148
D,causeway_bridge,2026-03-05T13:23:42.755658,2468.074380923148,0.0,1.0,1,0.14571809768676758,480,6,2468.074380923148,2468.074380923148,2468.074380923148
D,causeway_bridge,2026-03-05T13:27:30.749736,2468.074380923148,0.0,1.0,1,0.09913516044616699,480,6,2468.074380923148,2468.074380923148,2468.074380923148
D,mbb_beam,2026-03-05T13:20:31.903208,2468.074380923148,0.0,1.0,1,0.05589914321899414,480,6,2468.074380923148,2468.074380923148,2468.074380923148
D,mbb_beam,2026-03-05T13:23:42.515683,2468.074380923148,0.0,1.0,1,0.08486461639404297,480,6,2468.074380923148,2468.074380923148,2468.074380923148
D,mbb_beam,2026-03-05T13:27:30.572058,2468.074380923148,0.0,1.0,1,0.08013677597045898,480,6,2468.074380923148,2468.074380923148,2468.074380923148
D,multistory_building,2026-03-05T13:20:31.986441,2468.074380923148,0.0,1.0,1,0.07904720306396484,480,6,2468.074380923148,2468.074380923148,2468.074380923148
D,multistory_building,2026-03-05T13:23:42.605855,2468.074380923148,0.0,1.0,1,0.08775854110717773,480,6,2468.074380923148,2468.074380923148,2468.074380923148
D,multistory_building,2026-03-05T13:27:30.645550,2468.074380923148,0.0,1.0,1,0.06731557846069336,480,6,2468.074380923148,2468.074380923148,2468.074380923148
E,causeway_bridge,2026-03-05T13:20:34.192091,1309.3915499538036,0.7895833333333333,1.0,1,0.589327335357666,8577,5,,,
E,causeway_bridge,2026-03-05T13:23:44.745218,1520.101906003451,0.0,1.0,1,0.631915807723999,8577,5,,,
E,causeway_bridge,2026-03-05T13:27:32.710789,1183.6192584977864,1.0,1.0,1,0.593914270401001,8577,5,,,
E,mbb_beam,2026-03-05T13:20:32.936759,1482.0975392095409,0.0,1.0,1,0.787182092666626,8577,5,,,
E,mbb_beam,2026-03-05T13:23:43.461668,1278.3421593379844,1.0,1.0,1,0.6964406967163086,8577,5,,,
E,mbb_beam,2026-03-05T13:27:31.427613,1345.5435655592046,0.0,1.0,1,0.6714847087860107,8577,5,,,
E,multistory_building,2026-03-05T13:20:33.597507,910.188120406354,1.0,1.0,1,0.6548864841461182,8577,5,,,
E,multistory_building,2026-03-05T13:23:44.109483,1121.1746001668334,1.0,1.0,1,0.6439247131347656,8577,5,,,
E,multistory_building,2026-03-05T13:27:32.111777,1090.748460139742,1.0,1.0,1,0.6788039207458496,8577,5,,,
F,causeway_bridge,2026-03-05T13:20:37.723761,1567.9784353208438,0.0,1.0,1,1.2873680591583252,29377,5,,,
F,causeway_bridge,2026-03-05T13:23:48.579266,1083.243894354337,1.0,1.0,1,1.2346112728118896,29377,5,,,
F,causeway_bridge,2026-03-05T13:27:36.278078,1244.3716514748246,1.0,1.0,1,1.2349777221679688,29377,5,,,
F,mbb_beam,2026-03-05T13:20:35.257780,1592.2030247950765,0.0,1.0,1,1.011918544769287,29377,5,,,
F,mbb_beam,2026-03-05T13:23:46.031410,1259.1415036029143,1.0,1.0,1,1.281909465789795,29377,5,,,
F,mbb_beam,2026-03-05T13:27:33.871936,1230.035233856113,1.0,1.0,1,1.1551966667175293,29377,5,,,
F,multistory_building,2026-03-05T13:20:36.430748,1273.683571807639,1.0,1.0,1,1.1672494411468506,29377,5,,,
F,multistory_building,2026-03-05T13:23:47.291615,1649.6375041113665,0.0,1.0,1,1.254237413406372,29377,5,,,
